2023-04-26 13:57:40.207031: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Start training the agent? ([y]/n):
>>>
##### | Episode   25 | train: -33.933989% | vald: -33.696770%
##### | Episode   50 | train: -16.190154% | vald: -17.299447%
##### | Episode   75 | train: +30.418316% | vald: -63.897392% [saved]
##### | Episode  100 | train: +62.890650% | vald: -74.645399%
##### | Episode  125 | train: +68.743196% | vald: -86.570476%
##### | Episode  150 | train: +67.511000% | vald: -95.038358%
##### | Episode  175 | train: +81.044793% | vald: -99.474893%
##### | Episode  200 | train: +85.596604% | vald: -101.703508%
##### | Episode  225 | train: +95.071031% | vald: -101.720426%
##### | Episode  250 | train: +103.213496% | vald: -99.532045%
##### | Episode  275 | train: +102.833279% | vald: -97.178838%
##### | Episode  300 | train: +107.459534% | vald: -97.573832%
##### | Episode  325 | train: +111.867479% | vald: -102.042766%
##### | Episode  350 | train: +114.706553% | vald: -103.511711%
##### | Episode  375 | train: +116.517040% | vald: -107.029673%
##### | Episode  400 | train: +114.209069% | vald: -107.959032%
##### | Episode  425 | train: +113.824733% | vald: -108.392043%
##### | Episode  450 | train: +115.701685% | vald: -112.476420%
##### | Episode  475 | train: +115.010050% | vald: -113.687923%
##### | Episode  500 | train: +117.847968% | vald: -116.563326%
##### | Episode  525 | train: +126.467103% | vald: -121.394216%
##### | Episode  550 | train: +135.732244% | vald: -128.078562%
##### | Episode  575 | train: +137.007993% | vald: -128.843720%
##### | Episode  600 | train: +136.923194% | vald: -129.484224%
##### | Episode  625 | train: +137.864916% | vald: -128.073050%
##### | Episode  650 | train: +145.952114% | vald: -128.522433%
##### | Episode  675 | train: +145.566533% | vald: -128.938376%
##### | Episode  700 | train: +143.886240% | vald: -130.360653%
##### | Episode  725 | train: +143.250869% | vald: -129.270447%
##### | Episode  750 | train: +140.813857% | vald: -132.819938%
##### | Episode  775 | train: +144.926340% | vald: -136.209037%
##### | Episode  800 | train: +142.403992% | vald: -136.347925%
##### | Episode  825 | train: +141.089985% | vald: -132.734527%
##### | Episode  850 | train: +144.309568% | vald: -132.267348%
##### | Episode  875 | train: +146.625176% | vald: -129.521745%
##### | Episode  900 | train: +149.368426% | vald: -127.874344%
##### | Episode  925 | train: +150.714249% | vald: -128.673427%
##### | Episode  950 | train: +153.121845% | vald: -124.116210%
##### | Episode  975 | train: +153.937338% | vald: -123.697591%
##### | Episode 1000 | train: +152.151123% | vald: -119.900079%
##### | Episode 1025 | train: +155.610446% | vald: -120.994676%
##### | Episode 1050 | train: +156.143595% | vald: -120.047213%
##### | Episode 1075 | train: +160.911803% | vald: -114.164344%
##### | Episode 1100 | train: +159.594392% | vald: -116.058419%
##### | Episode 1125 | train: +162.193976% | vald: -116.983612%
##### | Episode 1150 | train: +161.537503% | vald: -116.053935%
##### | Episode 1175 | train: +162.221812% | vald: -115.285776%
##### | Episode 1200 | train: +170.781753% | vald: -113.248020%
##### | Episode 1225 | train: +172.707443% | vald: -113.157090%
##### | Episode 1250 | train: +174.199852% | vald: -110.137725%
##### | Episode 1275 | train: +176.685737% | vald: -107.657226%
##### | Episode 1300 | train: +177.417030% | vald: -108.731440%
##### | Episode 1325 | train: +177.712347% | vald: -111.296905%
##### | Episode 1350 | train: +171.218319% | vald: -111.920925%
##### | Episode 1375 | train: +171.938617% | vald: -111.208959%
##### | Episode 1400 | train: +173.994311% | vald: -109.876867%
##### | Episode 1425 | train: +176.212609% | vald: -108.864601%
##### | Episode 1450 | train: +173.070510% | vald: -107.577184%
##### | Episode 1475 | train: +177.091604% | vald: -103.952208%
##### | Episode 1500 | train: +178.924687% | vald: -103.232070%
##### | Episode 1525 | train: +177.598977% | vald: -101.842517%
##### | Episode 1550 | train: +173.231398% | vald: -103.183921%
##### | Episode 1575 | train: +169.915382% | vald: -103.574799%
##### | Episode 1600 | train: +172.415868% | vald: -101.410975%
##### | Episode 1625 | train: +172.845747% | vald: -99.827969%
##### | Episode 1650 | train: +172.993854% | vald: -100.543928%
##### | Episode 1675 | train: +176.092944% | vald: -98.702279%
##### | Episode 1700 | train: +175.949937% | vald: -99.633777%
##### | Episode 1725 | train: +175.731742% | vald: -98.212430%
##### | Episode 1750 | train: +173.605662% | vald: -98.271987%
##### | Episode 1775 | train: +170.479221% | vald: -99.281425%
##### | Episode 1800 | train: +175.581631% | vald: -97.880057%
##### | Episode 1825 | train: +179.209027% | vald: -94.652471%
##### | Episode 1850 | train: +182.703457% | vald: -91.393239%
##### | Episode 1875 | train: +179.480759% | vald: -94.646115%
##### | Episode 1900 | train: +179.528057% | vald: -94.622914%
##### | Episode 1925 | train: +179.575283% | vald: -94.411807%
##### | Episode 1950 | train: +183.046322% | vald: -97.628500%
##### | Episode 1975 | train: +184.475764% | vald: -99.459259%
##### | Episode 2000 | train: +186.822363% | vald: -102.438725%
##### | Episode 2025 | train: +186.795859% | vald: -99.152949%
##### | Episode 2050 | train: +187.716861% | vald: -97.424652%
##### | Episode 2075 | train: +189.442541% | vald: -97.671100%
##### | Episode 2100 | train: +187.034939% | vald: -95.760286%
##### | Episode 2125 | train: +190.306281% | vald: -93.577581%
##### | Episode 2150 | train: +190.764856% | vald: -92.354678%
##### | Episode 2175 | train: +184.425014% | vald: -90.473366%
##### | Episode 2200 | train: +183.972304% | vald: -87.694946%
##### | Episode 2225 | train: +182.546566% | vald: -89.366055%
##### | Episode 2250 | train: +187.714947% | vald: -89.782085%
##### | Episode 2275 | train: +194.297862% | vald: -88.196238%
##### | Episode 2300 | train: +193.892923% | vald: -86.579269%
##### | Episode 2325 | train: +191.524074% | vald: -87.401630%
##### | Episode 2350 | train: +197.672011% | vald: -88.852500%
##### | Episode 2375 | train: +199.679451% | vald: -84.890793%
##### | Episode 2400 | train: +201.887759% | vald: -85.769130%
##### | Episode 2425 | train: +203.469729% | vald: -84.398869%
##### | Episode 2450 | train: +203.590630% | vald: -80.301755%
##### | Episode 2475 | train: +203.284792% | vald: -81.476588%
##### | Episode 2500 | train: +203.421907% | vald: -79.087613%
##### | Episode 2525 | train: +204.186309% | vald: -79.606034%
##### | Episode 2550 | train: +207.036833% | vald: -79.836078%
##### | Episode 2575 | train: +206.630563% | vald: -81.804363%
##### | Episode 2600 | train: +211.223486% | vald: -81.688206%
##### | Episode 2625 | train: +209.135393% | vald: -83.419058%
##### | Episode 2650 | train: +209.302819% | vald: -81.423929%
##### | Episode 2675 | train: +214.234677% | vald: -86.706779%
##### | Episode 2700 | train: +214.713630% | vald: -89.206031%
##### | Episode 2725 | train: +215.866254% | vald: -86.974732%
##### | Episode 2750 | train: +213.327411% | vald: -87.520911%
##### | Episode 2775 | train: +211.511489% | vald: -86.605266%
##### | Episode 2800 | train: +210.773800% | vald: -86.069491%
##### | Episode 2825 | train: +214.376508% | vald: -86.839606%
##### | Episode 2850 | train: +211.856356% | vald: -86.795876%
##### | Episode 2875 | train: +212.566846% | vald: -89.344294%
##### | Episode 2900 | train: +212.317304% | vald: -90.345341%
##### | Episode 2925 | train: +210.596959% | vald: -89.711887%
##### | Episode 2950 | train: +212.378371% | vald: -94.244563%
##### | Episode 2975 | train: +211.099680% | vald: -91.506717%
##### | Episode 3000 | train: +210.070834% | vald: -91.242469%
##### | Episode 3025 | train: +207.875046% | vald: -91.408204%
##### | Episode 3050 | train: +209.876750% | vald: -90.660142%
##### | Episode 3075 | train: +206.760404% | vald: -88.084318%
##### | Episode 3100 | train: +202.929157% | vald: -90.656428%
##### | Episode 3125 | train: +202.100308% | vald: -93.713405%
##### | Episode 3150 | train: +199.800569% | vald: -91.855151%
##### | Episode 3175 | train: +198.202083% | vald: -91.466739%
##### | Episode 3200 | train: +191.415102% | vald: -93.985434%
##### | Episode 3225 | train: +190.189035% | vald: -96.455515%
##### | Episode 3250 | train: +189.210639% | vald: -98.699159%
##### | Episode 3275 | train: +185.615578% | vald: -103.678945%
##### | Episode 3300 | train: +181.429235% | vald: -104.451965%
##### | Episode 3325 | train: +177.968575% | vald: -101.672527%
##### | Episode 3350 | train: +178.429568% | vald: -101.673827%
##### | Episode 3375 | train: +177.198241% | vald: -103.432216%
##### | Episode 3400 | train: +177.906464% | vald: -101.286181%
##### | Episode 3425 | train: +178.765995% | vald: -102.951660%
##### | Episode 3450 | train: +174.971712% | vald: -102.363151%
##### | Episode 3475 | train: +173.054477% | vald: -104.569913%
##### | Episode 3500 | train: +171.740480% | vald: -104.986441%
##### | Episode 3525 | train: +175.592245% | vald: -105.844220%
##### | Episode 3550 | train: +172.545010% | vald: -108.182755%
##### | Episode 3575 | train: +175.455271% | vald: -107.568082%
##### | Episode 3600 | train: +179.946006% | vald: -107.238702%
##### | Episode 3625 | train: +176.891813% | vald: -104.407484%
##### | Episode 3650 | train: +176.741503% | vald: -106.708914%
##### | Episode 3675 | train: +179.721010% | vald: -103.676103%
##### | Episode 3700 | train: +185.215553% | vald: -99.928278%
##### | Episode 3725 | train: +187.604524% | vald: -100.370232%
##### | Episode 3750 | train: +188.671238% | vald: -97.252387%
##### | Episode 3775 | train: +189.902201% | vald: -91.319071%
##### | Episode 3800 | train: +191.714809% | vald: -92.804127%
##### | Episode 3825 | train: +193.858369% | vald: -96.329445%
##### | Episode 3850 | train: +193.488984% | vald: -98.797663%
##### | Episode 3875 | train: +190.643582% | vald: -92.768983%
##### | Episode 3900 | train: +187.079385% | vald: -95.329295%
##### | Episode 3925 | train: +185.732979% | vald: -94.287840%
##### | Episode 3950 | train: +190.981450% | vald: -94.649775%
##### | Episode 3975 | train: +195.799917% | vald: -93.586632%
##### | Episode 4000 | train: +196.130546% | vald: -93.104323%
##### | Episode 4025 | train: +193.812809% | vald: -94.100123%
##### | Episode 4050 | train: +198.655805% | vald: -91.501069%
##### | Episode 4075 | train: +197.767931% | vald: -92.635409%
##### | Episode 4100 | train: +197.867406% | vald: -90.114614%
##### | Episode 4125 | train: +205.129196% | vald: -93.076357%
##### | Episode 4150 | train: +206.494258% | vald: -92.892450%
##### | Episode 4175 | train: +207.708579% | vald: -92.694759%
##### | Episode 4200 | train: +202.947218% | vald: -94.745125%
##### | Episode 4225 | train: +202.664999% | vald: -94.841159%
##### | Episode 4250 | train: +206.000234% | vald: -95.446507%
##### | Episode 4275 | train: +206.247766% | vald: -99.439085%
##### | Episode 4300 | train: +207.977713% | vald: -97.961015%
##### | Episode 4325 | train: +207.416123% | vald: -98.515717%
##### | Episode 4350 | train: +204.178926% | vald: -95.753399%
##### | Episode 4375 | train: +210.008240% | vald: -99.202596%
##### | Episode 4400 | train: +208.623571% | vald: -99.441084%
##### | Episode 4425 | train: +213.515991% | vald: -96.502040%
##### | Episode 4450 | train: +209.386523% | vald: -96.953929%
##### | Episode 4475 | train: +207.623293% | vald: -96.560883%
##### | Episode 4500 | train: +205.603112% | vald: -97.427570%
##### | Episode 4525 | train: +208.662606% | vald: -99.256166%
##### | Episode 4550 | train: +208.358496% | vald: -97.949496%
##### | Episode 4575 | train: +212.639956% | vald: -98.214928%
##### | Episode 4600 | train: +209.634166% | vald: -97.273136%
##### | Episode 4625 | train: +209.133327% | vald: -100.054068%
##### | Episode 4650 | train: +213.701589% | vald: -99.885796%
##### | Episode 4675 | train: +214.438199% | vald: -101.286193%
##### | Episode 4700 | train: +217.542822% | vald: -99.991442%
##### | Episode 4725 | train: +217.970234% | vald: -99.671677%
##### | Episode 4750 | train: +213.782742% | vald: -100.246691%
##### | Episode 4775 | train: +213.709502% | vald: -100.018286%
##### | Episode 4800 | train: +213.570206% | vald: -100.555088%
##### | Episode 4825 | train: +215.468089% | vald: -97.318819%
##### | Episode 4850 | train: +220.859523% | vald: -96.360967%
##### | Episode 4875 | train: +220.869481% | vald: -94.896138%
##### | Episode 4900 | train: +222.316135% | vald: -93.821767%
##### | Episode 4925 | train: +218.129803% | vald: -97.289845%
##### | Episode 4950 | train: +221.418932% | vald: -93.519717%
##### | Episode 4975 | train: +221.385704% | vald: -93.937904%
##### | Episode 5000 | train: +227.989444% | vald: -93.311298%

Save model? (Type filename to save, Enter to skip):
>>> final
Saved model: rl/ddpg/vanilla/1d/btc/close/final.pth
2023-04-26 19:09:17 :   5.03%
2023-04-26 19:09:17 :  10.01%
2023-04-26 19:09:17 :  15.04%
2023-04-26 19:09:17 :  20.02%
2023-04-26 19:09:17 :  25.00%
2023-04-26 19:09:17 :  30.03%
2023-04-26 19:09:17 :  35.01%
2023-04-26 19:09:17 :  40.04%
2023-04-26 19:09:17 :  45.02%
2023-04-26 19:09:17 :  50.00%
2023-04-26 19:09:17 :   2.51%
2023-04-26 19:09:17 :   5.03%
2023-04-26 19:09:17 :  10.01%
2023-04-26 19:09:18 :  15.08%
2023-04-26 19:09:18 :  20.14%
2023-04-26 19:09:18 :  25.10%
2023-04-26 19:09:18 :  30.16%
2023-04-26 19:09:18 :  35.12%
2023-04-26 19:09:18 :  40.19%
2023-04-26 19:09:18 :  45.03%
2023-04-26 19:09:18 :  50.10%
2023-04-26 19:09:19 :  55.16%
2023-04-26 19:09:19 :  60.12%
2023-04-26 19:09:19 :  65.08%
2023-04-26 19:09:19 :  70.03%
2023-04-26 19:09:19 :  75.10%
2023-04-26 19:09:19 :  80.16%
2023-04-26 19:09:19 :  85.01%
2023-04-26 19:09:19 :  90.08%
2023-04-26 19:09:20 :  95.03%
2023-04-26 19:09:20 : 100.10%
2023-04-26 19:09:20 : 105.05%
2023-04-26 19:09:20 : 110.01%
SAVED: rl/ddpg/vanilla/1d/btc/close/.result_2023-04-26T19.09.20.846038/source.py
INSERTED: meta
INSERTED: metrics
INSERTED: stats
INSERTED: trades
INSERTED: equity
INSERTED: marks

